Column 1,Column 2,Column 3,Column 4,joined_address,json,lon,lat
83 N 26TH ST,Las Vegas,NV,89101,"83 N 26TH ST, Las Vegas, NV, 89101","[{""place_id"":""5035620936"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.162084908567,36.162184908567,-115.1140411054,-115.1139411054],""lat"":""36.1621349085668"",""lon"":""-115.113991105397"",""display_name"":""83, North 26th Street, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.113991105397,36.1621349085668
105 N PEARL ST,Las Vegas,NV,89110,"105 N PEARL ST, Las Vegas, NV, 89110","[{""place_id"":""5031067505"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.162686394666,36.162786394666,-115.09728078736,-115.09718078736],""lat"":""36.162736394666"",""lon"":""-115.097230787361"",""display_name"":""105, North Pearl Street, Five Points, Las Vegas, Clark, Nevada, 89110, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.097230787361,36.162736394666
117 SCHERER ST,Las Vegas,NV,89145,"117 SCHERER ST, Las Vegas, NV, 89145","[{""place_id"":""5031168401"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.17237766441,36.17247766441,-115.2639050857,-115.2638050857],""lat"":""36.1724276644103"",""lon"":""-115.263855085702"",""display_name"":""117, Scherer Street, The Pueblo, Las Vegas, Clark, Nevada, 89145, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.263855085702,36.1724276644103
117 GASS AV,Las Vegas,NV,89101,"117 GASS AV, Las Vegas, NV, 89101","[{""place_id"":""5032797139"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.162804324046,36.162904324046,-115.15036189676,-115.15026189676],""lat"":""36.1628543240462"",""lon"":""-115.150311896761"",""display_name"":""117, Gass Avenue, John S. Park, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.150311896761,36.1628543240462
91 CORPORATE PARK DR,Las Vegas,NV,89012,"91 CORPORATE PARK DR, Las Vegas, NV, 89012",[],,
101 S RAINBOW BL,Las Vegas,NV,89110,"101 S RAINBOW BL, Las Vegas, NV, 89110",[],,
18 FREMONT ST,Las Vegas,NV,89074,"18 FREMONT ST, Las Vegas, NV, 89074",[],,
107 E CHARLESTON BL,Las Vegas,NV,89101,"107 E CHARLESTON BL, Las Vegas, NV, 89101",[],,
108 HUNTLY RD,Las Vegas,NV,89145,"108 HUNTLY RD, Las Vegas, NV, 89145","[{""place_id"":""5030472907"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.173114297899,36.173214297899,-115.25923809005,-115.25913809005],""lat"":""36.1731642978989"",""lon"":""-115.259188090048"",""display_name"":""108, Huntly Road, Inner Northwest, Las Vegas, Clark, Nevada, 89145, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.115}]",-115.259188090048,36.1731642978989
100 N CITY PK,Las Vegas,NV,80202,"100 N CITY PK, Las Vegas, NV, 80202",[],,
116 S 11TH ST,Las Vegas,NV,89125,"116 S 11TH ST, Las Vegas, NV, 89125",[],,
115 N 4TH ST,Las Vegas,NV,89101,"115 N 4TH ST, Las Vegas, NV, 89101","[{""place_id"":""5036349750"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.169898520912,36.169998520913,-115.14158072363,-115.14148072363],""lat"":""36.1699485209125"",""lon"":""-115.141530723634"",""display_name"":""115, North 4th Street, Cultural Corridor, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.141530723634,36.1699485209125
10 SACRAMENTO DR,Las Vegas,NV,89110,"10 SACRAMENTO DR, Las Vegas, NV, 89110","[{""place_id"":""28240072"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""14313430"",""boundingbox"":[""36.1643333435059"",""36.1656799316406"",""-115.087509155273"",""-115.087440490723""],""lat"":""36.16503"",""lon"":""-115.087459"",""display_name"":""Sacramento Drive, Five Points, Las Vegas, Clark, Nevada, 89110, United States of America"",""class"":""highway"",""type"":""residential"",""importance"":1.3}]",-115.087459,36.16503
59 TOGGLE ST,Las Vegas,NV,89012,"59 TOGGLE ST, Las Vegas, NV, 89012",[],,
11 N MOJAVE RD,Las Vegas,NV,89101,"11 N MOJAVE RD, Las Vegas, NV, 89101","[{""place_id"":""5035775775"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.159357991731,36.159457991731,-115.10561528311,-115.10551528311],""lat"":""36.1594079917307"",""lon"":""-115.105565283113"",""display_name"":""11, North Mojave Road, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.315}]",-115.105565283113,36.1594079917307
30 N LAMB BL,Las Vegas,NV,89104,"30 N LAMB BL, Las Vegas, NV, 89104",[],,
71 W UTAH AV,Las Vegas,NV,89157,"71 W UTAH AV, Las Vegas, NV, 89157",[],,
117 N MARYLAND PK,Las Vegas,NV,89101,"117 N MARYLAND PK, Las Vegas, NV, 89101",[],,
10 N EASTERN AV,Las Vegas,NV,80112,"10 N EASTERN AV, Las Vegas, NV, 80112",[],,
94 CORPORATE PARK DR,Las Vegas,NV,89074,"94 CORPORATE PARK DR, Las Vegas, NV, 89074",[],,
29 N NELLIS BL,Las Vegas,NV,89110,"29 N NELLIS BL, Las Vegas, NV, 89110",[],,
108 MARKET ST,Las Vegas,NV,89015,"108 MARKET ST, Las Vegas, NV, 89015",[],,
105 W BADER,Las Vegas,NV,89040,"105 W BADER, Las Vegas, NV, 89040",[],,
118 S 11TH ST,Las Vegas,NV,89101,"118 S 11TH ST, Las Vegas, NV, 89101","[{""place_id"":""5030966502"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.16600017775,36.16610017775,-115.13412984971,-115.13402984971],""lat"":""36.1660501777503"",""lon"":""-115.134079849708"",""display_name"":""118, South 11th Street, John S. Park, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.134079849708,36.1660501777503
58 30TH ST,Las Vegas,NV,89101,"58 30TH ST, Las Vegas, NV, 89101",[],,
41 W MAYFLOWER AV,Las Vegas,NV,89030,"41 W MAYFLOWER AV, Las Vegas, NV, 89030",[],,
31 W OWENS AV,Las Vegas,NV,89126,"31 W OWENS AV, Las Vegas, NV, 89126",[],,
71 N NELLIS BL,Las Vegas,NV,77090,"71 N NELLIS BL, Las Vegas, NV, 77090",[],,
21 N NELLIS BL,Las Vegas,NV,89110,"21 N NELLIS BL, Las Vegas, NV, 89110",[],,
55 S GIBSON RD,Las Vegas,NV,89012,"55 S GIBSON RD, Las Vegas, NV, 89012",[],,
15 N MOJAVE RD,Las Vegas,NV,89108,"15 N MOJAVE RD, Las Vegas, NV, 89108",[],,
9 W CHARLESTON BL,Las Vegas,NV,89117,"9 W CHARLESTON BL, Las Vegas, NV, 89117",[],,
2 CRESCENT PL,Las Vegas,NV,7757,"2 CRESCENT PL, Las Vegas, NV, 7757",[],,
101 W MISSION BL,Las Vegas,NV,91769,"101 W MISSION BL, Las Vegas, NV, 91769",[],,
20 WILD DUNES CT,Las Vegas,NV,92261,"20 WILD DUNES CT, Las Vegas, NV, 92261",[],,
13 N NELLIS BL,Las Vegas,NV,89193,"13 N NELLIS BL, Las Vegas, NV, 89193",[],,
31 N MOJAVE RD,Las Vegas,NV,89101,"31 N MOJAVE RD, Las Vegas, NV, 89101","[{""place_id"":""5031545335"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.160926,36.161026,-115.10561,-115.10551],""lat"":""36.160976"",""lon"":""-115.10556"",""display_name"":""31, North Mojave Road, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.315}]",-115.10556,36.160976
1 E CHARLESTON BL,Las Vegas,NV,89101,"1 E CHARLESTON BL, Las Vegas, NV, 89101",[],,
109 N 4TH ST,Las Vegas,NV,89141,"109 N 4TH ST, Las Vegas, NV, 89141",[],,
58 30TH ST,Las Vegas,NV,89169,"58 30TH ST, Las Vegas, NV, 89169",[],,
39 RATTLESNAKE GRASS CT,Las Vegas,NV,89053,"39 RATTLESNAKE GRASS CT, Las Vegas, NV, 89053",[],,
112 S JONES BL,Las Vegas,NV,89132,"112 S JONES BL, Las Vegas, NV, 89132",[],,
10 HARVARD ST,Las Vegas,NV,89126,"10 HARVARD ST, Las Vegas, NV, 89126",[],,
58 DEL AMO DR,Las Vegas,NV,89110,"58 DEL AMO DR, Las Vegas, NV, 89110","[{""place_id"":""5033971827"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.160669736136,36.160769736136,-115.089549,-115.089449],""lat"":""36.1607197361362"",""lon"":""-115.089499"",""display_name"":""58, Del Amo Drive, Five Points, Las Vegas, Clark, Nevada, 89110, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.089499,36.1607197361362
48 MARION DR,Las Vegas,NV,89110,"48 MARION DR, Las Vegas, NV, 89110","[{""place_id"":""5034806188"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.161275858963,36.161375858963,-115.0738279024,-115.0737279024],""lat"":""36.1613258589628"",""lon"":""-115.073777902399"",""display_name"":""48, Marion Drive, Five Points, Las Vegas, Clark, Nevada, 89110, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.073777902399,36.1613258589628
105 E RENO AV,Las Vegas,NV,93455,"105 E RENO AV, Las Vegas, NV, 93455",[],,
101 S RAINBOW BL,Las Vegas,NV,89107,"101 S RAINBOW BL, Las Vegas, NV, 89107",[],,
12 E OGDEN AV,Las Vegas,NV,80112,"12 E OGDEN AV, Las Vegas, NV, 80112",[],,
27 N 28TH ST,Las Vegas,NV,89110,"27 N 28TH ST, Las Vegas, NV, 89110",[],,
101 CONVENTION CENTER DR,Las Vegas,NV,89109,"101 CONVENTION CENTER DR, Las Vegas, NV, 89109","[{""place_id"":""5036241813"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.132208721562,36.132308721562,-115.16341065829,-115.16331065829],""lat"":""36.1322587215616"",""lon"":""-115.163360658286"",""display_name"":""101, Convention Center Drive, Winchester, Clark, Nevada, 89109, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.315}]",-115.163360658286,36.1322587215616
71 PINON RD,Las Vegas,NV,89124,"71 PINON RD, Las Vegas, NV, 89124",[],,
71 SPECTRUM BL,Las Vegas,NV,30144,"71 SPECTRUM BL, Las Vegas, NV, 30144",[],,
47 W OWENS AV,Las Vegas,NV,89706,"47 W OWENS AV, Las Vegas, NV, 89706",[],,
109 N CIMARRON RD,Las Vegas,NV,89145,"109 N CIMARRON RD, Las Vegas, NV, 89145","[{""place_id"":""5034217120"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.174158839268,36.174258839268,-115.2688653844,-115.2687653844],""lat"":""36.1742088392682"",""lon"":""-115.268815384401"",""display_name"":""109, North Cimarron Road, The Pueblo, Las Vegas, Clark, Nevada, 89145, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.315}]",-115.268815384401,36.1742088392682
119 WATER AV,Las Vegas,NV,89156,"119 WATER AV, Las Vegas, NV, 89156",[],,
25 FREMONT ST,Las Vegas,NV,89119,"25 FREMONT ST, Las Vegas, NV, 89119",[],,
8 SUNSET WY,Las Vegas,NV,89014,"8 SUNSET WY, Las Vegas, NV, 89014","[{""place_id"":""5036609058"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.071730312775,36.071830312775,-115.07050612457,-115.07040612457],""lat"":""36.0717803127752"",""lon"":""-115.070456124566"",""display_name"":""8, Sunset Way, Green Valley, Henderson, Clark, Nevada, 89014, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.915}]",-115.070456124566,36.0717803127752
115 N 7TH ST,Las Vegas,NV,89121,"115 N 7TH ST, Las Vegas, NV, 89121",[],,
100 S 6TH ST,Las Vegas,NV,91361,"100 S 6TH ST, Las Vegas, NV, 91361",[],,
19 N MOJAVE RD,Las Vegas,NV,89122,"19 N MOJAVE RD, Las Vegas, NV, 89122",[],,
9 LASWELL ST,Las Vegas,NV,89015,"9 LASWELL ST, Las Vegas, NV, 89015",[],,
60 E RIO SALADO PK,Las Vegas,NV,85281,"60 E RIO SALADO PK, Las Vegas, NV, 85281",[],,
105 S RAINBOW BL,Las Vegas,NV,95825,"105 S RAINBOW BL, Las Vegas, NV, 95825",[],,
99 S MARTIN L KING BL,Las Vegas,NV,89102,"99 S MARTIN L KING BL, Las Vegas, NV, 89102",[],,
117 REDSTONE ST,Las Vegas,NV,89145,"117 REDSTONE ST, Las Vegas, NV, 89145","[{""place_id"":""5035654881"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.172901801087,36.173001801087,-115.24693658306,-115.24683658306],""lat"":""36.172951801087"",""lon"":""-115.24688658306"",""display_name"":""117, Redstone Street, Charleston Heights, Las Vegas, Clark, Nevada, 89145, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.24688658306,36.172951801087
1 LEVEE WY,Las Vegas,NV,41071,"1 LEVEE WY, Las Vegas, NV, 41071",[],,
21 FREMONT ST,Las Vegas,NV,89113,"21 FREMONT ST, Las Vegas, NV, 89113",[],,
2 METROPLEX DR,Las Vegas,NV,35209,"2 METROPLEX DR, Las Vegas, NV, 35209",[],,
110 S ROYAL ASCOT DR,Las Vegas,NV,89137,"110 S ROYAL ASCOT DR, Las Vegas, NV, 89137",[],,
1 E CHARLESTON BL,Las Vegas,NV,89118,"1 E CHARLESTON BL, Las Vegas, NV, 89118",[],,
12 E OGDEN AV,Las Vegas,NV,89014,"12 E OGDEN AV, Las Vegas, NV, 89014",[],,
101 JON BELGER DR,Las Vegas,NV,89145,"101 JON BELGER DR, Las Vegas, NV, 89145","[{""place_id"":""5030022963"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.173622,36.173722,-115.274267,-115.274167],""lat"":""36.173672"",""lon"":""-115.274217"",""display_name"":""101, Jon Belger Drive, The Pueblo, Las Vegas, Clark, Nevada, 89145, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.274217,36.173672
14 SHADOW LN,Las Vegas,NV,89106,"14 SHADOW LN, Las Vegas, NV, 89106","[{""place_id"":""5032879610"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.174670513588,36.174770513588,-115.16537311776,-115.16527311776],""lat"":""36.1747205135875"",""lon"":""-115.165323117763"",""display_name"":""14, Shadow Lane, 18b Arts District, Twin Lakes, Las Vegas, Clark, Nevada, 89106, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.115}]",-115.165323117763,36.1747205135875
18 FREMONT ST,Las Vegas,NV,89101,"18 FREMONT ST, Las Vegas, NV, 89101","[{""place_id"":""5036394028"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.16954771893,36.16964771893,-115.14171514294,-115.14161514294],""lat"":""36.1695977189295"",""lon"":""-115.141665142938"",""display_name"":""18, Fremont Street, Cultural Corridor, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.141665142938,36.1695977189295
59 N 30TH ST,Las Vegas,NV,89101,"59 N 30TH ST, Las Vegas, NV, 89101","[{""place_id"":""5035969382"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.161465909091,36.161565909091,-115.10819645454,-115.10809645454],""lat"":""36.1615159090909"",""lon"":""-115.108146454545"",""display_name"":""59, North 30th Street, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.108146454545,36.1615159090909
32 HOKE EDWARD CT,Las Vegas,NV,89031,"32 HOKE EDWARD CT, Las Vegas, NV, 89031",[],,
109 STEELER DR,Las Vegas,NV,89145,"109 STEELER DR, Las Vegas, NV, 89145","[{""place_id"":""5029774463"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.173340991092,36.173440991092,-115.26981938148,-115.26971938148],""lat"":""36.1733909910919"",""lon"":""-115.26976938148"",""display_name"":""109, Steeler Drive, The Pueblo, Las Vegas, Clark, Nevada, 89145, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.26976938148,36.1733909910919
101 S RAINBOW BL,Las Vegas,NV,89131,"101 S RAINBOW BL, Las Vegas, NV, 89131",[],,
109 S RAINBOW BL,Las Vegas,NV,89118,"109 S RAINBOW BL, Las Vegas, NV, 89118",[],,
110 E BONANZA RD,Las Vegas,NV,89183,"110 E BONANZA RD, Las Vegas, NV, 89183",[],,
101 WENDOVER AV,Las Vegas,NV,89110,"101 WENDOVER AV, Las Vegas, NV, 89110","[{""place_id"":""5035357376"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.1624814287,36.1625814287,-115.06899094556,-115.06889094556],""lat"":""36.1625314286995"",""lon"":""-115.068940945556"",""display_name"":""101, Wendover Avenue, Five Points, Las Vegas, Clark, Nevada, 89110, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.068940945556,36.1625314286995
41 N 30TH ST,Las Vegas,NV,89110,"41 N 30TH ST, Las Vegas, NV, 89110",[],,
100 N CITY PK,Las Vegas,NV,92018,"100 N CITY PK, Las Vegas, NV, 92018",[],,
11 30TH ST,Las Vegas,NV,89101,"11 30TH ST, Las Vegas, NV, 89101",[],,
76 CHELSEANN ST,Las Vegas,NV,89110,"76 CHELSEANN ST, Las Vegas, NV, 89110",[],,
111 N 1ST ST,Las Vegas,NV,89101,"111 N 1ST ST, Las Vegas, NV, 89101","[{""place_id"":""5035274268"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.171413604938,36.171513604938,-115.14522756492,-115.14512756492],""lat"":""36.1714636049383"",""lon"":""-115.145177564918"",""display_name"":""111, North 1st Street, Cultural Corridor, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.145177564918,36.1714636049383
101 CONVENTION CENTER DR,Las Vegas,NV,89126,"101 CONVENTION CENTER DR, Las Vegas, NV, 89126",[],,
1 CAESARS PALACE DR,Las Vegas,NV,89119,"1 CAESARS PALACE DR, Las Vegas, NV, 89119",[],,
114 S 15TH ST,Las Vegas,NV,89104,"114 S 15TH ST, Las Vegas, NV, 89104","[{""place_id"":""5031993106"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.163695864427,36.163795864427,-115.12976496558,-115.12966496558],""lat"":""36.1637458644266"",""lon"":""-115.129714965581"",""display_name"":""114, South 15th Street, John S. Park, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.315}]",-115.129714965581,36.1637458644266
38 W MAYFLOWER AV,Las Vegas,NV,89030,"38 W MAYFLOWER AV, Las Vegas, NV, 89030",[],,
112 N LAS VEGAS BL,Las Vegas,NV,89101,"112 N LAS VEGAS BL, Las Vegas, NV, 89101",[],,
68 ISLEWORTH DR,Las Vegas,NV,89052,"68 ISLEWORTH DR, Las Vegas, NV, 89052",[],,
111 N NELLIS BL,Las Vegas,NV,48334,"111 N NELLIS BL, Las Vegas, NV, 48334",[],,
29 N 28TH ST,Las Vegas,NV,89102,"29 N 28TH ST, Las Vegas, NV, 89102",[],,
69 N NELLIS BL,Las Vegas,NV,32714,"69 N NELLIS BL, Las Vegas, NV, 32714",[],,
35 30TH ST,Las Vegas,NV,89101,"35 30TH ST, Las Vegas, NV, 89101",[],,
26 S WATER ST,Las Vegas,NV,89121,"26 S WATER ST, Las Vegas, NV, 89121",[],,
32 W CALIFORNIA ST,Las Vegas,NV,89102,"32 W CALIFORNIA ST, Las Vegas, NV, 89102",[],,
24 W CALIFORNIA ST,Las Vegas,NV,89102,"24 W CALIFORNIA ST, Las Vegas, NV, 89102",[],,
115 E RENO AV,Las Vegas,NV,89119,"115 E RENO AV, Las Vegas, NV, 89119","[{""place_id"":""5033327491"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.097123897771,36.097223897771,-115.1677345596,-115.1676345596],""lat"":""36.0971738977714"",""lon"":""-115.167684559601"",""display_name"":""115, East Reno Avenue, Paradise, Clark, Nevada, 89119, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.167684559601,36.0971738977714
214 S MARYLAND PK,Las Vegas,NV,89136,"214 S MARYLAND PK, Las Vegas, NV, 89136",[],,
17 E WYOMING AV,Las Vegas,NV,89104,"17 E WYOMING AV, Las Vegas, NV, 89104","[{""place_id"":""5035604391"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.152184758124,36.152284758124,-115.15386162302,-115.15376162302],""lat"":""36.1522347581239"",""lon"":""-115.153811623018"",""display_name"":""17, East Wyoming Avenue, 18b Arts District, Five Points, Las Vegas, Clark, Nevada, 89104, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.153811623018,36.1522347581239
112 W WYOMING AV,Las Vegas,NV,89106,"112 W WYOMING AV, Las Vegas, NV, 89106","[{""place_id"":""5034179207"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.152287684305,36.152387684305,-115.15585310792,-115.15575310792],""lat"":""36.1523376843047"",""lon"":""-115.155803107916"",""display_name"":""112, West Wyoming Avenue, 18b Arts District, Twin Lakes, Las Vegas, Clark, Nevada, 89102, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.315}]",-115.155803107916,36.1523376843047
8 SUNSET WY,Las Vegas,NV,90806,"8 SUNSET WY, Las Vegas, NV, 90806",[],,
20 SUNMIST DR,Las Vegas,NV,89074,"20 SUNMIST DR, Las Vegas, NV, 89074","[{""place_id"":""5033684567"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.029273941456,36.029373941456,-115.10375827924,-115.10365827924],""lat"":""36.0293239414556"",""lon"":""-115.103708279238"",""display_name"":""20, Sunmist Drive, Green Valley, Henderson, Clark, Nevada, 89074, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.015}]",-115.103708279238,36.0293239414556
104 W MAYFLOWER AV,Las Vegas,NV,89030,"104 W MAYFLOWER AV, Las Vegas, NV, 89030",[],,
28 DISTINGUISHED WY,Las Vegas,NV,89002,"28 DISTINGUISHED WY, Las Vegas, NV, 89002",[],,
101 CEDAR ST,Las Vegas,NV,89015,"101 CEDAR ST, Las Vegas, NV, 89015",[],,
52 NELLYWOOD CT,Las Vegas,NV,89012,"52 NELLYWOOD CT, Las Vegas, NV, 89012",[],,
68 CHAPMAN HEIGHTS ST,Las Vegas,NV,89138,"68 CHAPMAN HEIGHTS ST, Las Vegas, NV, 89138",[],,
112 PALISADE AV,Las Vegas,NV,89110,"112 PALISADE AV, Las Vegas, NV, 89110","[{""place_id"":""5031154798"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.163087049959,36.163187049959,-115.068748674,-115.068648674],""lat"":""36.1631370499586"",""lon"":""-115.068698673999"",""display_name"":""112, Palisade Avenue, Five Points, Las Vegas, Clark, Nevada, 89110, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.068698673999,36.1631370499586
21 E CALIFORNIA ST,Las Vegas,NV,89104,"21 E CALIFORNIA ST, Las Vegas, NV, 89104",[],,
100 S VALLEY VIEW BL,Las Vegas,NV,89193,"100 S VALLEY VIEW BL, Las Vegas, NV, 89193",[],,
27 PINE HOLLOW DR,Las Vegas,NV,89052,"27 PINE HOLLOW DR, Las Vegas, NV, 89052",[],,
29 30TH ST,Las Vegas,NV,89108,"29 30TH ST, Las Vegas, NV, 89108",[],,
35 N MOJAVE RD,Las Vegas,NV,89101,"35 N MOJAVE RD, Las Vegas, NV, 89101","[{""place_id"":""5031545337"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.160977733333,36.161077733333,-115.1056108,-115.1055108],""lat"":""36.1610277333333"",""lon"":""-115.1055608"",""display_name"":""35, North Mojave Road, Five Points, Las Vegas, Clark, Nevada, 89101, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.315}]",-115.1055608,36.1610277333333
25 FREMONT ST,Las Vegas,NV,8225,"25 FREMONT ST, Las Vegas, NV, 8225",[],,
26 W UTAH AV,Las Vegas,NV,89102,"26 W UTAH AV, Las Vegas, NV, 89102","[{""place_id"":""5030039567"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.153536198269,36.153636198269,-115.1544217259,-115.1543217259],""lat"":""36.1535861982691"",""lon"":""-115.154371725905"",""display_name"":""26, West Utah Avenue, 18b Arts District, Five Points, Las Vegas, Clark, Nevada, 89102, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.154371725905,36.1535861982691
21 CRESCENT DR,Las Vegas,NV,89106,"21 CRESCENT DR, Las Vegas, NV, 89106",[],,
110 CORPORATE PARK DR,Las Vegas,NV,89074,"110 CORPORATE PARK DR, Las Vegas, NV, 89074",[],,
81 W MAYFLOWER AV,Las Vegas,NV,89030,"81 W MAYFLOWER AV, Las Vegas, NV, 89030",[],,
